date,crop,market_id,market_name,min_price,max_price,modal_price,arrival_quantity
2023-01-01,Tomato,mkt_coimbatore,Coimbatore Central Market,2633.96,3092.04,2863.0,306.2
2023-01-02,Tomato,mkt_coimbatore,Coimbatore Central Market,2575.07,3022.91,2798.99,259.5
2023-01-03,Tomato,mkt_coimbatore,Coimbatore Central Market,2571.81,3019.09,2795.45,70.3
2023-01-04,Tomato,mkt_coimbatore,Coimbatore Central Market,2578.48,3026.92,2802.7,353.2
2023-01-05,Tomato,mkt_coimbatore,Coimbatore Central Market,2774.43,3256.93,3015.68,57.2
2023-01-06,Tomato,mkt_coimbatore,Coimbatore Central Market,2696.61,3165.59,2931.1,389.5
2023-01-07,Tomato,mkt_coimbatore,Coimbatore Central Market,2573.75,3021.35,2797.55,113.6
2023-01-08,Tomato,mkt_coimbatore,Coimbatore Central Market,2686.77,3154.03,2920.4,114.2
2023-01-09,Tomato,mkt_coimbatore,Coimbatore Central Market,2661.89,3124.83,2893.36,201.2
2023-01-10,Tomato,mkt_coimbatore,Coimbatore Central Market,2440.76,2865.24,2653.0,151.9
2023-01-11,Tomato,mkt_coimbatore,Coimbatore Central Market,2542.33,2984.47,2763.4,152.3
2023-01-12,Tomato,mkt_coimbatore,Coimbatore Central Market,2689.68,3157.46,2923.57,178.2
2023-01-13,Tomato,mkt_coimbatore,Coimbatore Central Market,2819.01,3309.27,3064.14,119.9
2023-01-14,Tomato,mkt_coimbatore,Coimbatore Central Market,2645.36,3105.42,2875.39,230.0
2023-01-15,Tomato,mkt_coimbatore,Coimbatore Central Market,2617.74,3073.0,2845.37,262.6
2023-01-16,Tomato,mkt_coimbatore,Coimbatore Central Market,2694.42,3163.02,2928.72,109.7
2023-01-17,Tomato,mkt_coimbatore,Coimbatore Central Market,2624.4,3080.82,2852.61,289.5
2023-01-18,Tomato,mkt_coimbatore,Coimbatore Central Market,2664.02,3127.32,2895.67,204.1
2023-01-19,Tomato,mkt_coimbatore,Coimbatore Central Market,2700.42,3170.06,2935.24,62.0
2023-01-20,Tomato,mkt_coimbatore,Coimbatore Central Market,2593.68,3044.76,2819.22,368.3
2023-01-21,Tomato,mkt_coimbatore,Coimbatore Central Market,2803.92,3291.56,3047.74,159.1
2023-01-22,Tomato,mkt_coimbatore,Coimbatore Central Market,2588.04,3038.14,2813.09,232.0
2023-01-23,Tomato,mkt_coimbatore,Coimbatore Central Market,2582.28,3031.38,2806.83,389.4
2023-01-24,Tomato,mkt_coimbatore,Coimbatore Central Market,2754.91,3234.03,2994.47,321.3
2023-01-25,Tomato,mkt_coimbatore,Coimbatore Central Market,2820.49,3311.01,3065.75,81.0
2023-01-26,Tomato,mkt_coimbatore,Coimbatore Central Market,2764.52,3245.3,3004.91,118.6
2023-01-27,Tomato,mkt_coimbatore,Coimbatore Central Market,2739.04,3215.4,2977.22,186.0
2023-01-28,Tomato,mkt_coimbatore,Coimbatore Central Market,2724.58,3198.42,2961.5,145.0
2023-01-29,Tomato,mkt_coimbatore,Coimbatore Central Market,2712.84,3184.64,2948.74,148.3
2023-01-30,Tomato,mkt_coimbatore,Coimbatore Central Market,2886.8,3388.86,3137.83,239.9
2023-01-31,Tomato,mkt_coimbatore,Coimbatore Central Market,2811.53,3300.49,3056.01,76.1
2023-02-01,Tomato,mkt_coimbatore,Coimbatore Central Market,2738.52,3214.78,2976.65,395.4
2023-02-02,Tomato,mkt_coimbatore,Coimbatore Central Market,2711.64,3183.22,2947.43,51.9
2023-02-03,Tomato,mkt_coimbatore,Coimbatore Central Market,2861.12,3358.7,3109.91,335.4
2023-02-04,Tomato,mkt_coimbatore,Coimbatore Central Market,2913.81,3420.57,3167.19,319.9
2023-02-05,Tomato,mkt_coimbatore,Coimbatore Central Market,2908.41,3414.23,3161.32,75.9
2023-02-06,Tomato,mkt_coimbatore,Coimbatore Central Market,2715.15,3187.35,2951.25,352.1
2023-02-07,Tomato,mkt_coimbatore,Coimbatore Central Market,2780.07,3263.55,3021.81,268.2
2023-02-08,Tomato,mkt_coimbatore,Coimbatore Central Market,2766.18,3247.26,3006.72,158.8
2023-02-09,Tomato,mkt_coimbatore,Coimbatore Central Market,2804.54,3292.28,3048.41,163.8
2023-02-10,Tomato,mkt_coimbatore,Coimbatore Central Market,2922.73,3431.03,3176.88,360.5
2023-02-11,Tomato,mkt_coimbatore,Coimbatore Central Market,2989.71,3509.67,3249.69,215.3
2023-02-12,Tomato,mkt_coimbatore,Coimbatore Central Market,2882.03,3383.25,3132.64,316.3
2023-02-13,Tomato,mkt_coimbatore,Coimbatore Central Market,2772.48,3254.64,3013.56,246.4
2023-02-14,Tomato,mkt_coimbatore,Coimbatore Central Market,2846.74,3341.82,3094.28,233.0
2023-02-15,Tomato,mkt_coimbatore,Coimbatore Central Market,3034.37,3562.09,3298.23,199.6
2023-02-16,Tomato,mkt_coimbatore,Coimbatore Central Market,2870.35,3369.55,3119.95,160.0
2023-02-17,Tomato,mkt_coimbatore,Coimbatore Central Market,2830.79,3323.11,3076.95,228.0
2023-02-18,Tomato,mkt_coimbatore,Coimbatore Central Market,2844.43,3339.11,3091.77,193.6
2023-02-19,Tomato,mkt_coimbatore,Coimbatore Central Market,2915.19,3422.19,3168.69,314.4
2023-02-20,Tomato,mkt_coimbatore,Coimbatore Central Market,2785.46,3269.88,3027.67,375.4
2023-02-21,Tomato,mkt_coimbatore,Coimbatore Central Market,2825.01,3316.31,3070.66,332.8
2023-02-22,Tomato,mkt_coimbatore,Coimbatore Central Market,2992.82,3513.3,3253.06,331.3
2023-02-23,Tomato,mkt_coimbatore,Coimbatore Central Market,2929.26,3438.7,3183.98,115.3
2023-02-24,Tomato,mkt_coimbatore,Coimbatore Central Market,2906.53,3412.01,3159.27,332.6
2023-02-25,Tomato,mkt_coimbatore,Coimbatore Central Market,3011.58,3535.34,3273.46,363.6
2023-02-26,Tomato,mkt_coimbatore,Coimbatore Central Market,2821.58,3312.3,3066.94,129.8
2023-02-27,Tomato,mkt_coimbatore,Coimbatore Central Market,2868.78,3367.7,3118.24,199.5
2023-02-28,Tomato,mkt_coimbatore,Coimbatore Central Market,2945.02,3457.2,3201.11,52.4
2023-03-01,Tomato,mkt_coimbatore,Coimbatore Central Market,2944.55,3456.65,3200.6,228.8
2023-03-02,Tomato,mkt_coimbatore,Coimbatore Central Market,2752.42,3231.1,2991.76,92.0
2023-03-03,Tomato,mkt_coimbatore,Coimbatore Central Market,2871.84,3371.28,3121.56,168.2
2023-03-04,Tomato,mkt_coimbatore,Coimbatore Central Market,2905.4,3410.68,3158.04,231.6
2023-03-05,Tomato,mkt_coimbatore,Coimbatore Central Market,2974.75,3492.09,3233.42,296.1
2023-03-06,Tomato,mkt_coimbatore,Coimbatore Central Market,2960.7,3475.6,3218.15,386.9
2023-03-07,Tomato,mkt_coimbatore,Coimbatore Central Market,2924.74,3433.4,3179.07,138.1
